home,away,week,home_pass,away_pass,home_rush,away_rush,home_points,away_points,home_turnover,away_turnover,home_win
CHI,DET,7,241.7,346.3,136.7,111.3,32.7,26.7,2.3,0.7,1
CIN,PIT,7,274.7,318.3,98.0,77.7,21.3,23.3,-1.3,0.3,0
TB,NO,7,234.0,328.3,100.0,60.3,23.3,27.3,0.0,1.7,0
IND,CLE,7,305.0,274.3,94.7,79.0,18.7,25.7,-1.7,0.3,1
CAR,DAL,7,193.3,300.7,113.7,102.0,15.7,21.0,-1.0,-2.0,0
NE,NYJ,7,304.7,138.7,195.0,122.0,35.3,17.3,2.0,-0.3,1
MIN,ARI,7,228.3,218.7,132.0,85.0,25.3,14.3,-0.3,0.7,1
OAK,JAX,7,236.0,140.0,108.0,104.7,20.0,11.7,0.7,-0.3,1
SF,SEA,7,226.0,211.7,212.0,120.7,27.3,17.7,0.7,-1.3,1
STL,GB,7,214.0,284.7,116.0,116.7,16.7,32.3,0.3,0.3,0
HOU,BAL,7,214.0,244.0,118.0,106.7,28.3,21.0,0.3,1.3,1
CHI,CAR,8,226.3,176.3,159.3,131.0,29.3,18.0,3.3,0.3,1
DAL,NYG,8,290.0,260.3,117.7,152.0,22.0,31.3,-1.3,2.0,0
GB,JAX,8,289.0,142.3,106.0,61.0,33.0,12.0,1.3,0.0,1
TEN,IND,8,224.3,258.3,114.3,102.7,22.7,18.7,0.7,-1.7,0
CLE,SD,8,257.7,238.7,83.0,103.7,24.7,28.3,1.0,0.3,1
STL,NE,8,225.7,277.0,127.0,156.3,17.0,27.7,-0.7,1.0,0
NYJ,MIA,8,204.3,253.7,142.3,63.3,26.0,18.3,0.7,0.0,0
KC,OAK,8,179.3,262.7,136.3,91.3,12.0,17.3,-2.3,-0.3,0
DEN,NO,8,323.7,385.7,97.3,59.7,31.0,31.0,0.0,0.7,1
MIN,TB,8,209.3,340.7,145.0,109.0,25.7,29.3,-0.7,0.0,0
ARI,SF,8,205.7,227.3,117.7,188.7,11.0,20.3,0.0,-0.7,0
DET,SEA,8,280.0,203.3,96.7,106.3,15.3,15.3,-1.0,-0.7,1
PIT,WAS,8,280.0,199.0,115.3,186.7,21.0,26.0,0.3,0.0,1
PHI,ATL,8,228.3,294.7,113.3,83.0,18.7,25.7,-1.0,0.0,0
GB,ARI,9,277.3,212.7,78.3,105.0,32.0,11.0,1.3,-0.3,1
